occurrenceID,catalogNumber,license,type,institutionCode,collectionCode,individualCount,sex,lifeStage,disposition,associatedReferences,year,month,day,eventDate,eventRemarks,locality,decimalLatitude,decimalLongitude,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,nomenclaturalCode
urn:NHMD:LighthouseBirds:1212,1212,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,2 males,,2 in collection at ZMUC,"Hørring, R. (ed.), 1941. Fuglene ved de danske Fyr i 1939 (in Danish, UK: Birds at the Danish Lighthouses 1939). 57de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 104: 367-387.",1939,2,12,1939-02-12,V. Rebet Merssejlskuling. R. D. 2 Stære f,Lodbjerg Fyr,56.823428,8.262789,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1211,1211,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,31,1938-10-31,"V. Laber Bramsejlskuling. R. D. Drosler og Rødkælke v. F., 3 f.",Hanstholm Fyr,57.112667,8.598575,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,ICZN
urn:NHMD:LighthouseBirds:1210,1210,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,males,,2 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,31,1938-10-31,"V. Laber Bramsejlskuling. R. D. Drosler og Rødkælke v. F., 3 f.",Hanstholm Fyr,57.112667,8.598575,Turdus pilaris,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,pilaris,ICZN
urn:NHMD:LighthouseBirds:1192,1192,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,28,1938-10-28,"Ø. Laber Bramsejlskuling. D. Mange Rødkælke og enkelte andre F. v. L., 2 f.",Lodbjerg Fyr,56.823428,8.262789,Lymnocryptes minimus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Lymnocryptes,minimus,ICZN
urn:NHMD:LighthouseBirds:1191,1191,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,28,1938-10-28,"Ø. Laber Bramsejlskuling. D. Mange Rødkælke og enkelte andre F. v. L., 2 f.",Lodbjerg Fyr,56.823428,8.262789,Rallus aquaticus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,aquaticus,ICZN
urn:NHMD:LighthouseBirds:1205,1205,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,ICZN
urn:NHMD:LighthouseBirds:1204,1204,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,"1 male, 1 female",1 female adult,2 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Phoenicurus phoenicurus,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,phoenicurus,ICZN
urn:NHMD:LighthouseBirds:1202,1202,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Phylloscopus collybita,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,ICZN
urn:NHMD:LighthouseBirds:1206,1206,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,4,"1 male, 3 females","2 females adults, 1 female juvenile",4 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Phylloscopus trochilus,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochilus,ICZN
urn:NHMD:LighthouseBirds:1201,1201,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Sylvia atricapilla,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,atricapilla,ICZN
urn:NHMD:LighthouseBirds:1200,1200,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Sylvia communis,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,communis,ICZN
urn:NHMD:LighthouseBirds:1203,1203,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,10,6,1938-10-06,"S.V. Bramsejlskuling. R. Mange Drosler og Smaaf. v. F., 11 f.",Hanstholm Fyr,57.112667,8.598575,Turdus philomelos,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,ICZN
urn:NHMD:LighthouseBirds:1209,1209,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,,,2 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,9,7,1938-09-07,N.Ø. Bramsejlskuling. R. D. 4 F. f.,Hanstholm Fyr,57.112667,8.598575,Ficedula hypoleuca,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,ICZN
urn:NHMD:LighthouseBirds:1208,1208,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,9,7,1938-09-07,N.Ø. Bramsejlskuling. R. D. 4 F. f.,Hanstholm Fyr,57.112667,8.598575,Oenanthe oenanthe,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,oenanthe,ICZN
urn:NHMD:LighthouseBirds:1207,1207,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,9,7,1938-09-07,N.Ø. Bramsejlskuling. R. D. 4 F. f.,Hanstholm Fyr,57.112667,8.598575,Sylvia borin,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,borin,ICZN
urn:NHMD:LighthouseBirds:1197,1197,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,,,0 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,31,1938-03-31,"V. Merssejlskuling. D. Endel Regnspover om F. og mange Stære v. Ruderne, 1 Stær f., ikke indsendt.",Lodbjerg Fyr,56.823428,8.262789,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1189,1189,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,25,1938-03-25,"S.-V. Merssejlskuling. R. Tg. Endel Stære v. L. hele Natten, nogle Viber hørtes, 3 Fugle faldt.",Lodbjerg Fyr,56.823428,8.262789,Gallinula chloropus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,chloropus,ICZN
urn:NHMD:LighthouseBirds:1188,1188,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1938,3,25,1938-03-25,"S.-V. Merssejlskuling. R. Tg. Endel Stære v. L. hele Natten, nogle Viber hørtes, 3 Fugle faldt.",Lodbjerg Fyr,56.823428,8.262789,Rallus aquaticus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,aquaticus,ICZN
urn:NHMD:LighthouseBirds:1190,1190,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,25,1938-03-25,"S.-V. Merssejlskuling. R. Tg. Endel Stære v. L. hele Natten, nogle Viber hørtes, 3 Fugle faldt.",Lodbjerg Fyr,56.823428,8.262789,Scolopax rusticola,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,ICZN
urn:NHMD:LighthouseBirds:1199,1199,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,3,3 females,,3 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,14,1938-03-14,"S.V. Bramsejlskuling. Tg. D. Mange Viber, Stære og Rødkælke v. F., 4 f.",Hanstholm Fyr,57.112667,8.598575,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1198,1198,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,14,1938-03-14,"S.V. Bramsejlskuling. Tg. D. Mange Viber, Stære og Rødkælke v. F., 4 f.",Hanstholm Fyr,57.112667,8.598575,Turdus merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,merula,ICZN
urn:NHMD:LighthouseBirds:1196,1196,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,"1 male, 1 female",1 female juvenile,2 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,13,1938-03-13,"S.V. Bramsejlskuling. R. D. Mange Stære v. F., 2 f.",Lodbjerg Fyr,56.823428,8.262789,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1194,1194,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,1,1938-03-01,S.V. Rebet Merssejlskuling. D. Endel Stære v. L. til Morgenen.,Lodbjerg Fyr,56.823428,8.262789,Alauda arvensis,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,ICZN
urn:NHMD:LighthouseBirds:1193,1193,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,3,1,1938-03-01,S.V. Rebet Merssejlskuling. D. Endel Stære v. L. til Morgenen.,Lodbjerg Fyr,56.823428,8.262789,Vanellus vanellus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,ICZN
urn:NHMD:LighthouseBirds:1195,1195,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1940. Fuglene ved de danske Fyr i 1938 (in Danish, UK: Birds at the Danish Lighthouses 1938). 56de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 103: 559-586.",1938,2,1,1938-02-01,"S.S.V. Trerebet Merssejlskuling. R. Hagl. Enkelte Stære v. F., 1 f.",Lodbjerg Fyr,56.823428,8.262789,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1147,1147,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,,,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,4,1937-11-04,Ø. Laber Bramsejlskuling. D. Endel Smaaf. om F. 3 f.,Lodbjerg Fyr,56.823428,8.262789,Coturnix coturnix,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,coturnix,ICZN
urn:NHMD:LighthouseBirds:1148,1148,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,"1 male, 1 female",2 adults,2 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,4,1937-11-04,Ø. Laber Bramsejlskuling. D. Endel Smaaf. om F. 3 f.,Lodbjerg Fyr,56.823428,8.262789,Turdus iliacus,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,iliacus,ICZN
urn:NHMD:LighthouseBirds:1152,1152,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,2,1937-11-02,Ø. Bramsejlskuling. D. Endel Fugle om F. 3 f.,Lodbjerg Fyr,56.823428,8.262789,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,ICZN
urn:NHMD:LighthouseBirds:1150,1150,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,2,1937-11-02,Ø. Bramsejlskuling. D. Endel Fugle om F. 3 f.,Lodbjerg Fyr,56.823428,8.262789,Lymnocryptes minimus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Lymnocryptes,minimus,ICZN
urn:NHMD:LighthouseBirds:1151,1151,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,2,1937-11-02,Ø. Bramsejlskuling. D. Endel Fugle om F. 3 f.,Lodbjerg Fyr,56.823428,8.262789,Turdus merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,merula,ICZN
urn:NHMD:LighthouseBirds:1153,1153,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,1,1937-11-01,Ø. Bramsejlskuling. R. D. Endel Fugle v. F. 6 f.,Lodbjerg Fyr,56.823428,8.262789,Alauda arvensis,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,ICZN
urn:NHMD:LighthouseBirds:1156,1156,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,1,1937-11-01,Ø. Bramsejlskuling. R. D. Endel Fugle v. F. 6 f.,Lodbjerg Fyr,56.823428,8.262789,Gallinula chloropus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,chloropus,ICZN
urn:NHMD:LighthouseBirds:1154,1154,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,male,juvenile,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,1,1937-11-01,Ø. Bramsejlskuling. R. D. Endel Fugle v. F. 6 f.,Lodbjerg Fyr,56.823428,8.262789,Sturnus vulgaris,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,ICZN
urn:NHMD:LighthouseBirds:1157,1157,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,1,female,adult,1 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,1,1937-11-01,Ø. Bramsejlskuling. R. D. Endel Fugle v. F. 6 f.,Lodbjerg Fyr,56.823428,8.262789,Turdus iliacus,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,iliacus,ICZN
urn:NHMD:LighthouseBirds:1155,1155,https://creativecommons.org/licenses/by/4.0/,PhysicalObject,NHMD,LighthouseBirds,2,2 females,2 juveniles,2 in collection at ZMUC,"Hørring, R. (ed.), 1939. Fuglene ved de danske Fyr i 1937 (in Danish, UK: Birds at the Danish Lighthouses 1937). 55de Aarsberetning om danske Fugle. Videnskabelige Meddelelser fra den Naturhistoriske Forening i København. 102: 245-292.",1937,11,1,1937-11-01,Ø. Bramsejlskuling. R. D. Endel Fugle v. F. 6 f.,Lodbjerg Fyr,56.823428,8.262789,Turdus merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,merula,ICZN
