occurrenceID,recordedBy,eventDate,year,month,day,scientificName,fieldRemarks,island,locationID,materialSampleID,associateMedia,decimalLatitude,decimalLongitude,higherClassification,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,taxonRank,nomenclaturalCode,taxonomicStatus,taxonID,reportNumber
bid:hisc:biisc:hipsc:bi:2:SP:40190:v,Sophie Parmelon,2010-01-12,2010,1,12,Rhizophora mangle,In bloom,Big Island,bi,bid:hisc:biisc:hipsc:bi:2:SP:40190,,20.05528747,-154.837712,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Rhizophoraceae | Rhizophora,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,mangle,L.,species,ICBN,valid,3086528,2
bid:hisc:biisc:hipsc:bi:3:SG:40190,Sharon Grant,2010-01-12,2010,1,12,Rhizophora mangle,In bloom,Big Island,bi,,,20.05530765,-154.8379572,Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Rhizophoraceae | Rhizophora,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,mangle,L.,species,ICBN,valid,3086528,3
bid:hisc:biisc:hipsc:bi:18:SG:40204,Sharon Grant,2010-01-26,2010,1,26,Clidemia hirta,full bush,Big Island,bi,,,19.2863,-154.9504167,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,18
bid:hisc:biisc:hipsc:bi:19:SG:40204:v,Sharon Grant,2010-01-26,2010,1,26,Clidemia hirta,,Big Island,bi,bid:hisc:biisc:hipsc:bi:19:SG:40204,,19.28633333,-154.9504167,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,19
bid:hisc:biisc:hipsc:bi:20:SP:40205,Sophie Parmelon,2010-01-27,2010,1,27,Cryptostegia madagascariensis,purple flowers,Big Island,bi,,https://www.flickr.com/photos/chdeff_photos/4953420625,19.44618471,-156.03645,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Cryptostegia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Boj.,species,ICBN,valid,8230770,20
bid:hisc:biisc:hipsc:bi:21:SP:40205:v,Sophie Parmelon,2010-01-27,2010,1,27,Cryptostegia madagascariensis,,Big Island,bi,bid:hisc:biisc:hipsc:bi:21:SP:40205,,19.44719602,-156.0364,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Cryptostegia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Boj.,species,ICBN,valid,8230770,21
bid:hisc:biisc:hipsc:bi:22:SP:40205,Sophie Parmelon,2010-01-27,2010,1,27,Cryptostegia madagascariensis,,Big Island,bi,,,19.44725112,-156.0364833,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Cryptostegia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Boj.,species,ICBN,valid,8230770,22
bid:hisc:biisc:hipsc:bi:23:SP:40205,Sophie Parmelon,2010-01-27,2010,1,27,Cryptostegia madagascariensis,,Big Island,bi,,,19.44726802,-156.0366833,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Cryptostegia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Boj.,species,ICBN,valid,8230770,23
bid:hisc:biisc:hipsc:bi:24:SP:40205,Sophie Parmelon,2010-01-27,2010,1,27,Cryptostegia madagascariensis,,Big Island,bi,,,19.44736412,-156.0366,Plantae | Tracheophyta | Magnoliopsida | Gentianales | Apocynaceae | Cryptostegia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cryptostegia,madagascariensis,Boj.,species,ICBN,valid,8230770,24
bid:hisc:biisc:hipsc:bi:25:SG:40206,Sharon Grant,2010-01-28,2010,1,28,Clidemia hirta,,Big Island,bi,,,19.28641667,-154.9506667,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,25
bid:hisc:biisc:hipsc:bi:26:SG:40206,Sharon Grant,2010-01-28,2010,1,28,Clidemia hirta,,Big Island,bi,,,19.28648333,-154.9507833,Plantae | Tracheophyta | Magnoliopsida | Myrtales | Melastomataceae | Clidemia,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,(L.) D. Don,species,ICBN,valid,3188642,26
