occurrenceID,scientificNameOnTheBook,commonNameinDanish,locality,building,date,observedNumberIndividuals,sex,lifeStage,remarks,url,recordedBy
dnhm:exerise2CFR:20211012:000001,Cerchneis tinnunculus,Taarnfalk,Viborg,Mönsted church,1880,several groups of 7,,family groups,This abundance suggest a particularly abundant source of food on the surrounding heather (lizards),,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000002,Cerchneis tinnunculus,Taarnfalk,Viborg,Daubjerg church,1880,several groups of 7,,family groups,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000003,Cerchneis tinnunculus,Taarnfalk,Viborg,Thisted,1880,several broods of 6,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000004,Cerchneis tinnunculus,Taarnfalk,Viborg,Egebäksande,1880,one group of 7,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000005,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1875/05/06,6 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000006,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1876/04/30,6 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000007,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1878/04/28,4 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000008,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1877,0 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000009,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1879,0 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000010,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1880/05/02,5 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000011,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1882,5 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000012,Cerchneis tinnunculus,Taarnfalk,Viborg,Vähr church,1883,7 eggs,,nest,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000013,Cerchneis tinnunculus,Taarnfalk,Viborg,Hansted church,,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000014,Cerchneis tinnunculus,Taarnfalk,Viborg,Hundslund church,,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000015,Cerchneis tinnunculus,Taarnfalk,Viborg,Thyrsted church,,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000016,Cerchneis tinnunculus,Taarnfalk,Viborg,Oelsted church,,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000017,Cerchneis tinnunculus,Taarnfalk,Viborg,Oelsted church,1879/05/03,,,5 eggs,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000018,Cerchneis tinnunculus,Taarnfalk,Viborg,Oelsted church,1882,,,6 eggs,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000019,Cerchneis tinnunculus,Taarnfalk,Viborg,Oelsted church,1883,,,6 eggs,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000020,Cerchneis tinnunculus,Taarnfalk,Viborg,Our Lady’s church Copenhagen,1879,,,brood,often seen on autumn and winter,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000021,Cerchneis tinnunculus,Taarnfalk,Viborg,St. Pete’s church Copenhagen,1879,,,brood,often seen on autumn and winter,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000022,Cerchneis tinnunculus,Taarnfalk,Viborg,Our Lady’s church Copenhagen,1880,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000023,Cerchneis tinnunculus,Taarnfalk,Viborg,Round Tower Copenhagen,1880,,,brood,,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000024,Cerchneis tinnunculus,Taarnfalk,Viborg,law firm building Copenhagen,1880,,,brood,brood in a valve,,Chr. Fr. Lütken
dnhm:exerise2CFR:20211012:000025,Cerchneis tinnunculus,Taarnfalk,Viborg,St. Pete’s church Copenhagen,1880,,,brood,,,Chr. Fr. Lütken
